Date,Scenario,NIFTY50,423AD5,55DE4F,5989A8,846D05,9BDFD3,A7A10A,A9C322,C2AEC9,CB3DD5,E7786E
2022-10-31,3,18975.46,4480.65,2821.5,1938.35,891.89,198.25,1719.59,2807.83,1974.89,951.62,486.13
2022-10-31,4,16603.82,4516.98,2553.03,1354.39,650.72,150.66,1376.42,2945.04,2738.35,539.21,261.09
2022-10-31,5,21933.93,4348.89,2357.93,2595.41,936.71,231.44,1630.35,2746.59,2507.0,1109.5,840.93
2022-11-30,1,18758.35,3323.48,2684.35,2070.18,848.75,337.92,1608.45,2479.68,1634.95,952.9,602.45
2022-11-30,2,17924.32,5339.79,3026.43,2153.6,404.74,235.28,1681.71,2725.33,2437.39,837.15,422.93
2022-11-30,3,19260.79,4053.44,2639.86,1750.84,1054.43,189.59,1781.93,2974.26,2005.86,1053.45,531.95
2022-11-30,4,18495.68,4542.06,2635.49,1667.14,694.98,176.55,1675.65,2766.28,2840.08,650.12,336.97
2022-11-30,5,21079.43,4517.08,2283.45,2592.62,995.34,229.31,1538.37,2604.89,2574.5,988.18,771.27
2022-12-30,1,18105.3,3192.04,2561.05,2081.11,806.1,329.52,1628.15,2312.5,1508.2,890.85,613.7
2022-12-30,2,17900.92,5135.78,3139.71,2161.19,403.45,231.86,1676.37,2617.26,2406.35,848.93,439.65
2022-12-30,3,19440.36,4267.54,2494.2,1708.27,1086.24,182.9,1777.95,2903.12,2106.1,1107.5,519.35
2022-12-30,4,19940.09,4852.42,2952.51,1912.51,764.66,190.55,1670.36,2845.84,3242.34,734.86,379.33
2022-12-30,5,17354.05,3664.13,2360.15,1891.63,683.8,216.72,1479.4,2149.95,1887.75,740.15,460.45
